x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1.3138377320766457,4.0335677862166923,6.9095957726239128,9.892752413153481,NaN,NaN,NaN,NaN,NaN,NaN
1.313479982614518,4.0264335295557556,6.888137282133,9.8543303948639167,NaN,NaN,NaN,NaN,NaN,NaN
1.3131216824054726,4.0192100626229834,6.8661671501397059,9.8147103947399401,NaN,NaN,NaN,NaN,NaN,NaN
1.3127626740932474,4.0118914943933071,6.8436435884236273,9.7737871247528361,NaN,NaN,NaN,NaN,NaN,NaN
1.3124029576778422,4.0044719985127042,6.8205245387553166,9.7314598661659506,NaN,NaN,NaN,NaN,NaN,NaN
1.3120425331592569,3.9969456827640126,6.7967667818068458,9.6876340442894247,NaN,NaN,NaN,NaN,NaN,NaN
1.3116814005374915,3.9893060508369991,6.7723272246121358,9.6422231990097345,NaN,NaN,NaN,NaN,NaN,NaN
1.3113194811344158,3.9815471246838157,6.7471620583533234,9.5951540261505421,NaN,NaN,NaN,NaN,NaN,NaN
1.3109566962718973,3.9736619502305572,6.7212285357712709,9.5463695299623801,NaN,NaN,NaN,NaN,NaN,NaN
1.310593124628068,3.9656440702080324,6.6944832807778338,9.49583284854873,NaN,NaN,NaN,NaN,NaN,NaN
1.3102286088466648,3.9574866271018583,6.666885567307375,9.4435315334795309,NaN,NaN,NaN,NaN,NaN,NaN
1.3098632392287266,3.9491824555396629,6.6383951920269944,9.389483183026158,NaN,NaN,NaN,NaN,NaN,NaN
1.3094968780875216,3.9407245564460349,6.6089756190775866,9.3337380200622917,NaN,NaN,NaN,NaN,NaN,NaN
1.3091295799613012,3.9321053203939993,6.5785927629469869,9.2763820755480211,NaN,NaN,NaN,NaN,NaN,NaN
1.3087612667679798,3.9233175009488654,6.5472173106669427,9.2175394684074767,NaN,NaN,NaN,NaN,NaN,NaN
1.3083919385075582,3.9143529549240674,6.5148253273962986,9.1573723077772513,NaN,NaN,NaN,NaN,NaN,NaN
1.3080215170979508,3.9052040016650755,6.4813989317416203,9.0960789054630702,NaN,NaN,NaN,NaN,NaN,NaN
1.3076499244570741,3.895862799584827,6.4469277888535519,9.0338899511097406,NaN,NaN,NaN,NaN,NaN,NaN
1.3072772386670124,3.8863207370042407,6.4114099937676468,8.971063385009618,NaN,NaN,NaN,NaN,NaN,NaN
